ubigeo,ano,semana,p_fal,p_vivax,date
160101,2009,1,3,0,2009-01-05
160101,2009,2,2,6,2009-01-12
160101,2009,3,2,3,2009-01-19
160101,2009,4,0,5,2009-01-26
160101,2009,5,1,1,2009-02-02
160101,2009,6,2,3,2009-02-09
160101,2009,7,1,7,2009-02-16
160101,2009,8,2,10,2009-02-23
160101,2009,9,2,5,2009-03-02
160101,2009,10,1,9,2009-03-09
160101,2009,11,2,7,2009-03-16
160101,2009,12,1,7,2009-03-23
160101,2009,13,1,12,2009-03-30
160101,2009,14,1,7,2009-04-06
160101,2009,15,3,7,2009-04-13
160101,2009,16,2,16,2009-04-20
160101,2009,17,3,4,2009-04-27
160101,2009,18,0,7,2009-05-04
160101,2009,19,0,7,2009-05-11
160101,2009,20,0,5,2009-05-18
160101,2009,21,4,1,2009-05-25
160101,2009,22,2,7,2009-06-01
160101,2009,23,1,8,2009-06-08
160101,2009,24,0,11,2009-06-15
160101,2009,25,0,12,2009-06-22
160101,2009,26,5,11,2009-06-29
160101,2009,27,1,16,2009-07-06
160101,2009,28,3,21,2009-07-13
160101,2009,29,1,9,2009-07-20
160101,2009,30,4,13,2009-07-27
160101,2009,31,0,16,2009-08-03
160101,2009,32,4,13,2009-08-10
160101,2009,33,2,8,2009-08-17
160101,2009,34,2,6,2009-08-24
160101,2009,35,2,9,2009-08-31
160101,2009,36,11,14,2009-09-07
160101,2009,37,3,7,2009-09-14
160101,2009,38,1,6,2009-09-21
160101,2009,39,1,6,2009-09-28
160101,2009,40,1,8,2009-10-05
160101,2009,41,2,6,2009-10-12
160101,2009,42,0,7,2009-10-19
160101,2009,43,0,7,2009-10-26
160101,2009,44,0,5,2009-11-02
160101,2009,45,1,8,2009-11-09
160101,2009,46,2,3,2009-11-16
160101,2009,47,2,4,2009-11-23
160101,2009,48,0,3,2009-11-30
160101,2009,49,0,7,2009-12-07
160101,2009,50,2,3,2009-12-14
160101,2009,51,1,3,2009-12-21
160101,2009,52,0,3,2009-12-28
160101,2009,53,0,2,2010-01-04
160101,2010,1,0,2,2010-01-04
160101,2010,2,1,2,2010-01-11
160101,2010,3,0,2,2010-01-18
160101,2010,4,0,2,2010-01-25
160101,2010,5,2,3,2010-02-01
160101,2010,6,0,5,2010-02-08
160101,2010,7,0,5,2010-02-15
160101,2010,8,1,5,2010-02-22
160101,2010,9,2,3,2010-03-01
160101,2010,10,5,8,2010-03-08
160101,2010,11,1,4,2010-03-15
160101,2010,12,1,7,2010-03-22
160101,2010,13,0,2,2010-03-29
160101,2010,14,1,3,2010-04-05
160101,2010,15,0,5,2010-04-12
160101,2010,16,1,6,2010-04-19
160101,2010,18,0,5,2010-05-03
160101,2010,19,1,10,2010-05-10
160101,2010,20,1,8,2010-05-17
160101,2010,21,2,1,2010-05-24
160101,2010,22,5,3,2010-05-31
160101,2010,23,2,4,2010-06-07
160101,2010,24,5,2,2010-06-14
160101,2010,25,3,2,2010-06-21
160101,2010,26,12,6,2010-06-28
160101,2010,27,4,4,2010-07-05
160101,2010,28,1,6,2010-07-12
160101,2010,29,3,6,2010-07-19
160101,2010,30,1,2,2010-07-26
